Action,Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2,Final URL
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,,,Enabled,4.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,[chiropractor edmonton],Exact match,Enabled,4.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,[chiropractic edmonton],Exact match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,"""back pain chiropractor""",Phrase match,Enabled,4.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,"""neck pain chiropractor""",Phrase match,Enabled,4.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,"""sports chiropractor""",Phrase match,Enabled,4.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,"""wcb chiropractor""",Phrase match,Enabled,4.75,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,"""mva chiropractor""",Phrase match,Enabled,4.75,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,,,,,Edmonton Chiropractor,Same-Week Appointments,Direct Billing Available,"Evidence-informed chiropractic care for back/neck pain and injuries. Get a clear plan for recovery — not endless visits.","Collaborative care with physio when needed. Book online or call (780) 250-8188.",chiropractic,edmonton,https://aimphysiotherapy.ca/services/chiropractic
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,,,,,Back Pain Relief Starts Here,Chiropractic + Rehab Approach,Book Today,"Back pain, stiffness, or headaches? Get assessed and treated with a practical plan to improve mobility and function.","Same-week availability. Insurance accepted. Call (780) 250-8188 or book online.",back-pain,chiro,https://aimphysiotherapy.ca/services/chiropractic
Add,AIM - Search - Lead Generation - Feb 2026,Chiropractic Care,,,,,Sports Chiropractor Edmonton,Move Better. Train Better.,Fast Access to Care,"Chiropractic care for active people: mobility, pain reduction, and return-to-training strategies that fit your sport.","Evidence-informed care. Book online today.",sports,chiropractic,https://aimphysiotherapy.ca/services/chiropractic
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,,,Enabled,3.75,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,[pelvic floor therapy edmonton],Exact match,Enabled,3.75,,,,,,,,
