Campaign,Ad Group,Keyword,Match Type,Max CPC,Final URL
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,chiropractor edmonton,Phrase,$4.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,chiropractic clinic edmonton,Phrase,$3.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,back pain chiropractor,Broad,$4.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,sports chiropractor edmonton,Phrase,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,WCB chiropractor,Phrase,$5.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,car accident chiropractor edmonton,Phrase,$5.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Chiropractic Care,chiropractor near me,Broad,$4.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,pelvic floor physiotherapy edmonton,Phrase,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,pelvic health therapy edmonton,Phrase,$2.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,women's pelvic health,Broad,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,postpartum pelvic floor therapy,Phrase,$3.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,postpartum physiotherapy edmonton,Phrase,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,incontinence treatment edmonton,Phrase,$3.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Women,prenatal pelvic floor therapy,Phrase,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Men,men's pelvic health edmonton,Phrase,$2.50,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Men,male pelvic floor therapy,Phrase,$2.50,https://aimphypiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Men,post prostate surgery therapy,Phrase,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Men,male incontinence treatment,Phrase,$3.00,https://aimphysiotherapy.ca
AIM - Search - Multi-Service - Feb 2026,Pelvic Health - Men,pelvic pain men,Broad,$2.50,https://aimphysiotherapy.ca
