Action,Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2,Final URL
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,,,Enabled,4.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,,,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,,,Enabled,5.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,,,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,[wcb physiotherapy edmonton],Exact match,Enabled,5.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,[work injury physiotherapy],Exact match,Enabled,4.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,"""wcb approved physiotherapy""",Phrase match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,"""return to work physiotherapy""",Phrase match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,"""work injury rehab clinic""",Phrase match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,"""occupational injury physiotherapy""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,"""modified duties physiotherapy""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,"""workplace injury rehab""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,[car accident physiotherapy],Exact match,Enabled,5.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,[mva physiotherapy edmonton],Exact match,Enabled,5.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,"""whiplash physiotherapy""",Phrase match,Enabled,5.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,"""post accident rehab""",Phrase match,Enabled,4.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,"""insurance physiotherapy""",Phrase match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,[physiotherapy edmonton],Exact match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,[physiotherapist edmonton],Exact match,Enabled,4.00,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,,,,,Injured at Work? We Handle WCB,Case-Managed Physiotherapy,Book Assessment Today,"Avoid delays & endless visits. Outcome-driven rehab aligned with employers and insurers. No out-of-pocket costs.","Professional WCB-approved physiotherapy. We handle all paperwork & case management. Call 780-250-8188",wcb,work-injury,https://albertainjurymanagement.ca/wcb
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,,,,,WCB Physiotherapy - Get Back to Work,Employer & Insurer Aligned Rehab,No Referral Needed,"WCB-approved physiotherapy focused on faster, safer return-to-work. We handle paperwork & case management. Book today.","Direct WCB billing. Structured return-to-work programs. Same-day appointments. Call 780-250-8188",wcb,return-to-work,https://albertainjurymanagement.ca/wcb
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,,,,,WCB Rehab That Reduces Time-Loss,Trusted by Employers,Fast Assessments,"Structured return-to-work programs with reporting employers trust. Refer a WCB case today.","Outcome-driven rehabilitation aligned with employers and insurers. Professional case management. 780-250-8188",wcb,employers,https://albertainjurymanagement.ca/wcb
Add,AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,,,,,Reduce Workplace Injury Downtime,WCB-Approved Partner,Modified Duties Support,"Help injured employees return to work faster. Professional rehab with employer reporting. Trusted WCB partner.","Structured return-to-work plans. Modified duties support. Fast assessments. Call 780-250-8188",wcb,b2b,https://albertainjurymanagement.ca/wcb
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,,,,,Car Accident Injury Rehab,We Handle Insurance Paperwork,Free Assessment,"Injured in a car accident? Get medically guided rehab without insurance stress. Book your assessment today.","Coordinated care with insurers and medical providers. Direct billing. Same-day appointments. 780-250-8188",mva,car-accident,https://albertainjurymanagement.ca/mva
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,,,,,Hurt in a Car Accident?,Start Rehab Immediately,No Upfront Cost,"Avoid chronic pain & delays. Coordinated care with insurers and medical providers. Book today.","Professional MVA rehabilitation. We handle insurance claims. Same-day appointments available. Call 780-250-8188",mva,urgent,https://albertainjurymanagement.ca/mva
Add,AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,,,,,Accident Rehab You Can Trust,Insurance Claim Support,Expert MVA Physiotherapy,"Professional car accident rehabilitation with full insurance coordination. No upfront costs. Start healing today.","Experienced MVA physiotherapists. Direct insurance billing. Comprehensive treatment plans. 780-250-8188",mva,trusted,https://albertainjurymanagement.ca/mva
Add,AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,,,,,Get Back to Life Pain-Free,Same-Day Appointments Available,Direct WCB Billing,"Professional physiotherapy that works. ✓ Same-day appointments ✓ Direct billing ✓ Expert therapists","Comprehensive injury assessment and treatment. Sports injuries, back pain, accident recovery. Call 780-250-8188",physiotherapy,edmonton,https://albertainjurymanagement.ca
Add,AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,,,,,Struggling with Chronic Pain?,Expert Injury Rehabilitation,Book Free Assessment Today,"Don't let pain control your life. Professional physiotherapy for sports injuries, back pain & accidents. No referral needed.","Initial consultation available. Treatment plans tailored to you. Call 780-250-8188",pain-relief,recovery,https://albertainjurymanagement.ca
